"REGIAO","ANO","INDICADOR_329","INDICADOR_62","INDICADOR_199","INDICADOR_200","INDICADOR_333","INDICADOR_181","INDICADOR_182","INDICADOR_188","INDICADOR_189","INDICADOR_289","INDICADOR_290","INDICADOR_202","INDICADOR_184","INDICADOR_7","INDICADOR_201"
"Mata Paraibana",2000,43.8674022334338,NA,NA,NA,80.5873929504082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mata Paraibana",2007,NA,68.10354536415,2.95,2.75,NA,10.3,17.4,70.75,76.6,62.57123473545,NA,33.53174603175,22.6562408007,1489.1368966378,NA
"Mata Paraibana",2008,NA,68.14290931615,NA,NA,NA,9.2,16.95,71.85,75,64.51374519655,NA,35.6040564374,21.6395348837,1736.07430394655,NA
"Mata Paraibana",2009,NA,73.7573031933,3.3,2.9,NA,8.15,29,73.55,64.7,63.63677092955,NA,34.83796296295,20.584358955,1971.03630783575,0.7347855
"Mata Paraibana",2010,32.6256808231201,70.9467890374,NA,NA,92.4011667120629,6.75,33.05,74.95,59.7,60.4414820301,NA,33.3333333333,19.28502747255,2203.7855279916,NA
"Mata Paraibana",2011,NA,72.0968884275,3.6,2.95,NA,6,28.2,79.25,65.6,71.45334477095,16.72713529855,30.64713064715,19.0144654088,2452.803559787,0.598738
"Sertão Paraibano",2000,39.4043426084515,NA,NA,NA,82.4313062416987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sertão Paraibano",2007,NA,64.583360961,3.1,2.8,NA,8.7,14.65,73,82.55,40.7407407407,NA,37.1527777778,18.1052631579,1878.5818344537,NA
"Sertão Paraibano",2008,NA,63.5718268053,NA,NA,NA,7.9,12.6,75.9,87.4,39.2045454545,NA,41.6666666667,16.125,2139.4840093189,NA
"Sertão Paraibano",2009,NA,69.0582973192,3.4,3,NA,7.1,14.3,77.7,82.6,42.6470588235,NA,41.3580246914,16.3818181818,2130.8346109253,0.704456
"Sertão Paraibano",2010,31.7887100986121,67.7750730978,NA,NA,91.1713038393143,6.6,19.1,78.3,72.7,46.8085106383,NA,40.350877193,16.2058823529,2423.4921844509,NA
"Sertão Paraibano",2011,NA,67.2065572981,3.7,3.2,NA,5.8,10.5,81.8,87.4,55.6701030928,15.9574468085,36.8686868687,15.6623376623,2697.4558130841,0.588962
