"cidade","Vizinho1","Vizinho2","Vizinho3","Vizinho4","Vizinho5","Vizinho6","Vizinho7","Vizinho8","Vizinho9","Vizinho10","V12"
"Piancó",0.0752,0.0973,0.1035,0.1116,0.1992,0.2049,0.2128,0.2313,0.2555,0.259,0.175
"Diamante",0.0547,0.0741,0.1357,0.1576,0.1749,0.2106,0.2181,0.2263,0.2425,0.2574,0.1752
"São João do Rio do Peixe",0.0752,0.1065,0.15,0.163,0.166,0.1725,0.1986,0.2364,0.2423,0.2486,0.1759
"Fagundes",0.106,0.1486,0.166,0.1786,0.1915,0.1929,0.1935,0.1967,0.1971,0.2081,0.1779
"Marcação",0.088,0.1007,0.1369,0.1735,0.18,0.185,0.2169,0.2259,0.2284,0.2546,0.179
"Parari",0.1028,0.1272,0.1457,0.162,0.1872,0.1903,0.2001,0.2161,0.2333,0.2339,0.1799
"Remígio",0.1017,0.1342,0.1573,0.1707,0.1853,0.1908,0.2026,0.2142,0.2196,0.2233,0.18
"Princesa Isabel",0.0752,0.1401,0.1477,0.1525,0.1922,0.1932,0.2124,0.2217,0.2325,0.2406,0.1808
"Quixabá",0.0874,0.1376,0.1503,0.1532,0.1797,0.1812,0.2248,0.2365,0.2463,0.2513,0.1848
"Araçagi",0.0424,0.1537,0.156,0.1607,0.1919,0.2191,0.2235,0.2281,0.2451,0.2567,0.1877
"São Mamede",0.1296,0.1312,0.1468,0.1677,0.1733,0.176,0.2054,0.2309,0.2543,0.2639,0.1879
"Sertãozinho",0.114,0.1401,0.1468,0.1562,0.1812,0.1835,0.2088,0.2442,0.2608,0.2729,0.1908
"Alagoa Nova",0.0961,0.15,0.152,0.1618,0.1828,0.1998,0.2234,0.23,0.2441,0.2803,0.192
"Cacimba de Dentro",0.1342,0.152,0.1617,0.1635,0.1736,0.1957,0.2026,0.2428,0.2486,0.2524,0.1927
"Nova Olinda",0.0547,0.0934,0.1892,0.199,0.2119,0.2241,0.2265,0.2405,0.2423,0.2494,0.1931
"Gado Bravo",0.0993,0.1318,0.156,0.1735,0.1833,0.2098,0.2399,0.2458,0.2614,0.2738,0.1975
"Manaíra",0.0588,0.1576,0.163,0.1747,0.2105,0.2119,0.238,0.2427,0.2553,0.2894,0.2002
"Coxixola",0.1044,0.1125,0.1657,0.1783,0.207,0.2083,0.2436,0.2494,0.2684,0.273,0.2011
